Year,Total expenditure,General administration,Executive and legislative organs,General services,International relations,R&D general services,"Public order and security, defense",Public security,Administration of justice,Prison system,General legal issues,Fire protection services,Defense,"R&D public order and security, defense",Education,Obligatory schooling,Special schools,Basic vocational training,General education schools,Post-secondary vocational education,Tertiary-level institutions,Research,Other education,"Culture, sport and leisure, church",Cultural heritage,Other culture,Media,Sporting and recreational services,Churches and religious services,"R&D culture, sport and leisure, church",Health,"Hospital, convalescent and nursing home services",Outpatient care,Preventive healthcare,R&D health,Health n.e.c.,Social security,Sickness and accident,Disability,Old age and survivors,Family and young people,Unemployment,Subsidized housing,Social welfare and asylum affairs,R&D social welfare,Social welfare n.e.c.,Transportation and telecommunications,Road transportation,Public transportation,Other transportation,Telecommunications,R&D transportation and telecommunications,Protection of the environment and spatial planning,Water supply,Sewage disposal,Waste management,Control structures,Protection of biodiversity and landscape,Anti-pollution,Other environmental protection,R&D environmental protection,Spatial planning,National economy,Agriculture,Forestry,Hunting and fishing,Tourism,"Industry, commerce and trade",Banks and insurance companies,Fuel and energy,R&D national economy,Other commercial operations,Finances and taxes,Taxes,Tax agreements,Fiscal equalization and cost compensation,Revenue shares in federal receipts without appropriation,Other revenue shares without appropriation,Asset and debt management,Redistribution,Undivided items,Canton
1990,1476251,48562,3988,44574,,,126549,52344,15405,8982,18892,3363,27561,,400165,213798,8355,75842,35677,29097,29648,,7749,21306,11465,4750,294,4794,2,,143965,124307,8,6024,,13626,138671,15872,43132,38863,7071,2335,9822,21529,,45,318856,302728,12247,3882,,,54229,,14428,4003,30174,204,,1116,,4304,147022,86083,47000,3988,1477,704,,7770,,,76926,3087,2033,15482,,13337,42987,,,Valais
1991,1645106,54690,3611,51079,,,134094,58564,17582,10933,21187,4158,21671,,434228,234749,9023,81175,40075,27526,33765,,7914,24602,11439,7379,362,5421,,,173138,154814,,9185,,9138,163847,17120,48794,45545,12900,2633,7832,28934,,90,325104,309428,12779,2896,,,114777,,20093,20789,61962,,,1590,,10343,139118,92873,30737,4493,1567,563,,8886,,,81508,3596,2093,17241,,11088,47491,,,Valais
1992,1680893,55423,3782,51641,,,139385,60507,18291,12580,20949,5280,21776,,465100,251723,10084,87474,43512,23895,40405,,8006,22169,10603,5505,46,6014,,,175103,154946,509,10068,,9580,169658,18919,50256,49886,9476,2963,10283,27515,,359,329494,313379,14222,1893,,,92670,,17668,9007,57002,487,,1364,,7142,138426,91219,30389,4564,1635,1936,,8683,,,93466,4177,2151,16589,,10143,60407,,,Valais
1993,1846787,58519,3439,55080,,,149605,64231,20572,13906,22904,6097,21895,,475473,258943,8100,89842,47444,22328,40803,,8013,23770,12289,5334,84,6063,,,183679,163128,487,10737,,9327,248967,22392,55300,45913,12776,71983,10370,29823,,409,356013,339201,15174,1638,,,99436,,14931,16987,39083,446,,1369,,26620,148675,101525,30720,4632,1644,1139,,9014,,,102651,7280,2171,18115,,9865,65219,,,Valais
1994,1965160,59783,3345,56438,,,154807,61522,20868,14080,29305,5521,23511,,479412,260203,8156,85354,50688,24169,42876,,7965,23305,11394,5569,108,6235,,,184217,164497,412,10072,,9236,224378,23101,58109,45693,11278,46038,10050,29837,,272,444905,430122,13544,1238,,,143038,,15712,13949,86755,529,,1322,,24770,146593,105078,24420,4744,1557,941,,9854,,,104722,6536,1839,18115,,8108,70124,,,Valais
1995,1807642,61654,3677,57977,,,143315,59035,21093,12993,23731,7279,19184,,490038,265063,8664,74144,61054,25150,39434,,16528,24996,9939,8320,128,6218,391,,180828,162255,448,8365,,9760,199604,27889,58873,46330,10322,12732,10921,32260,,275,356486,336325,15437,4723,,,106348,,21111,12138,45387,1086,,994,,25633,140538,99940,19724,4715,3442,2386,,10332,,,103835,7152,1989,17924,,8005,68765,,,Valais
1996,1930192,60664,4536,56128,,,146959,59328,21150,20029,23923,7028,15500,,503322,271682,9077,85453,56077,25252,38414,,17367,25194,9996,8137,68,6613,380,,188458,168962,489,8967,,10041,279996,94988,57222,35425,11411,41321,4161,34892,,577,359526,318950,39473,1104,,,93544,,21761,9117,26777,1402,,985,,33502,160867,118428,23139,4509,3122,2202,,9468,,,111662,14767,2003,17924,,6811,70158,,,Valais
1997,2003997,67678,4000,63679,,,155699,61403,22384,24066,25300,7069,15479,,512095,270230,8452,90703,50224,33819,35857,,22810,27011,14388,5574,121,6547,380,,188389,169501,545,8485,,9859,327486,102145,60839,39228,10704,67757,4119,42360,,335,338048,300979,36196,873,,,109758,,25173,9722,26697,728,,1293,,46145,171904,123525,24022,4543,3843,2620,,13351,,,105929,8718,1941,18005,,7361,69904,,,Valais
1998,1985778,63853,4476,59377,,,157166,63823,23190,17981,26695,7063,18414,,524122,275798,9136,94647,57658,37176,27582,,22125,29446,11503,8879,132,8531,400,,200217,179759,757,8822,,10879,331500,110841,63542,43289,12387,46517,3950,49997,,977,263870,227232,35771,867,,,128244,,36136,14641,39624,137,,1284,,36422,179138,120458,27722,4510,3653,3181,3620,15995,,,108223,9346,1750,18005,,7799,71323,,,Valais
1999,2151617,80076,3803,76273,,,147252,65563,23436,14639,24731,7457,11426,,535664,267561,8240,76789,77579,50487,39970,,15039,39097,13267,17844,,7986,,,202835,185799,3060,8873,,5103,328198,121708,68264,50626,14915,7497,9801,55167,,219,354805,329303,24882,620,,,128877,,44515,11224,33877,1543,,2597,,35120,226089,170038,33445,4802,5020,933,3701,8149,,,108725,16260,1211,18105,,8592,64557,,,Valais
