Year;Canton;GDP;Total expenditure;General administration;Executive and legislative organs;General services;Public order and security, defense;Public security;Administration of justice;Prison system;General legal issues;Fire protection services;Defense;Education;Obligatory schooling;Special schools;Basic vocational training;General education schools;Post-secondary vocational education;Tertiary-level institutions;Research;Other education;Culture, sport and leisure, church;Cultural heritage;Other culture;Media;Sporting and recreational services;Churches and religious services;R&D culture, sport and leisure, church;Health;Hospital, convalescent and nursing home services;Outpatient care;Preventive healthcare;R&D health;Health n.e.c.;Social security;Sickness and accident;Disability;Old age and survivors;Family and young people;Unemployment;Subsidized housing;Social welfare and asylum affairs;R&D social welfare;Social welfare n.e.c.;Transportation and telecommunications;Road transportation;Public transportation;Other transportation;Telecommunications;Protection of the environment and spatial planning;Water supply;Sewage disposal;Waste management;Control structures;Protection of biodiversity and landscape;Anti-pollution;Other environmental protection;Spatial planning;National economy;Agriculture;Forestry;Hunting and fishing;Tourism;Industry, commerce and trade;Banks and insurance companies;Fuel and energy;Other commercial operations;Finances and taxes;Taxes;Tax agreements;Fiscal equalization and cost compensation;Other revenue shares without appropriation;Asset and debt management
2008;Jura;4415000;754564;39441;3506;35934;42278;20659;8864;2168;9596;0;990;208447;94350;12406;40017;21815;1823;31889;0;6147;18343;5890;4447;148;4019;3839;0;94386;83570;3865;4465;0;2487;126450;36968;28768;27696;6577;7674;1369;16415;0;983;59356;46461;12896;0;0;12945;1142;3930;1078;259;3122;0;882;2532;125619;101689;9068;1291;1291;11066;0;1215;0;27299;3304;0;10009;950;13036
2009;Jura;4150000;786932;39390;3445;35945;48643;26475;9081;2654;9539;0;894;216366;95484;13726;39940;25924;1510;33140;0;6643;18836;5218;4922;462;4397;3837;0;95107;83624;4130;4987;0;2365;127981;37520;30137;27707;6018;8234;1200;16433;0;732;58679;48063;10616;0;0;13910;1508;2948;933;667;3765;0;781;3308;139007;113442;6914;1314;2284;12766;0;2119;168;29013;3259;0;15217;577;9960
2010;Jura;4274000;935272;41267;3745;37521;50562;26634;9479;2775;10762;0;912;215424;96112;13700;42545;20110;1747;34692;0;6520;19806;5219;5220;781;4690;3895;0;97694;85927;4346;4741;0;2680;133245;39224;29625;28123;7628;9145;1263;17263;0;973;193374;183333;9796;245;0;17536;1592;3813;1529;907;4442;0;970;4284;142034;113931;6156;1592;1953;16035;0;2367;0;24330;4151;0;10394;615;9170
2011;Jura;4425000;966522;44789;3534;41255;47847;21634;11274;3657;10432;0;849;224237;98056;15397;45780;19189;1670;37041;0;7104;20522;5271;6044;315;5038;3853;0;103027;89114;6898;4286;0;2729;137789;41191;30474;30263;7416;8541;1261;18241;0;402;198363;187186;11047;130;0;21411;2121;2934;1934;3771;5853;988;852;2959;143537;112659;8145;1586;2174;17201;0;1772;0;25000;4146;0;12109;583;8162
2012;Jura;4514000;961963;45741;3582;40478;50811;21969;12968;3516;10589;0;1769;227983;102019;11065;46324;21889;1037;37311;0;8338;28406;13270;6265;103;4774;3994;0;115052;96391;12137;3680;0;2844;137221;43347;35080;24999;5072;6302;1268;21151;0;0;168646;155830;12816;0;0;22375;3667;1924;906;2864;6772;3095;374;2773;141970;112866;6485;1499;2554;16022;0;2543;0;23756;5517;0;10632;683;6924
2013;Jura;4736000;976068;46287;3799;40542;51610;22868;14475;3156;10196;0;915;229370;104003;11132;44286;23529;696;36844;0;8880;28103;13494;5687;375;4633;3915;0;122348;103797;11642;3843;0;3067;145506;44518;36238;27238;5317;6122;1143;24929;0;0;165105;152206;12899;0;0;24048;2131;1737;1247;1892;9076;2917;2289;2758;142037;113923;7234;1238;2258;15771;0;1613;0;21652;4972;0;11109;614;4957
2014;Jura;4859000;979907;47570;3812;41368;53839;22869;15307;3895;10403;0;1365;233012;103991;10858;43173;27845;742;37180;0;9224;27077;13484;5162;233;4284;3914;0;124700;104957;12438;3856;0;3449;152988;44301;37022;29170;5707;6324;1104;29360;0;0;152361;139624;12737;0;0;21116;3328;895;926;931;6177;4210;1799;2851;142582;116569;6464;1306;1831;14111;0;2301;0;24661;5006;0;12177;882;6596
2015;Jura;4717000;955187;47406;3627;41783;59903;23988;18455;5600;10686;0;1174;229377;102441;11084;42230;28225;669;35543;0;9184;23698;10348;5324;283;3951;3792;0;131844;112142;12419;3890;0;3392;154527;44714;36760;30562;5387;6241;1051;29811;0;0;123228;110716;12503;9;0;19198;1596;1693;901;914;7218;2619;489;3769;140920;115160;6642;1271;1788;14033;0;2025;0;25087;5210;0;12399;526;6952
2016;Jura;4728000;931574;46913;3487;41622;56195;24177;14164;5187;11159;0;1507;231122;102658;10516;43847;27180;805;36976;0;9140;24494;9735;6912;192;3960;3695;0;131769;110171;14365;3685;0;3548;165118;45852;38165;32432;5724;7361;1032;34553;0;0;88955;70656;18290;8;0;18424;1275;1232;857;578;6428;2257;1137;4660;141024;115239;6553;1235;2193;14265;0;1539;0;27560;6355;0;13583;663;6959
2017;Jura;4853000;920413;48030;3037;44108;59217;25622;14442;5996;11564;0;1593;225241;104041;10472;42757;20884;2018;37080;0;7989;23519;9669;5188;249;5605;2807;0;130650;109260;13514;4095;0;3781;177258;49952;41592;35357;6535;10004;1039;32778;0;0;73962;54171;19783;8;0;20724;2047;450;859;3506;6830;2713;93;4226;137998;115172;5839;1161;1719;11922;0;2184;0;23814;5038;0;10907;807;7062
