Year;Canton;GDP;Total expenditure;General administration;Executive and legislative organs;General services;Public order and security, defense;Public security;Administration of justice;Prison system;General legal issues;Fire protection services;Defense;Education;Obligatory schooling;Special schools;Basic vocational training;General education schools;Post-secondary vocational education;Tertiary-level institutions;Research;Other education;Culture, sport and leisure, church;Cultural heritage;Other culture;Media;Sporting and recreational services;Churches and religious services;Health;Hospital, convalescent and nursing home services;Outpatient care;Preventive healthcare;R&D health;Health n.e.c.;Social security;Sickness and accident;Disability;Old age and survivors;Family and young people;Unemployment;Subsidized housing;Social welfare and asylum affairs;R&D social welfare;Social welfare n.e.c.;Transportation and telecommunications;Road transportation;Public transportation;Other transportation;Telecommunications;Protection of the environment and spatial planning;Water supply;Sewage disposal;Waste management;Control structures;Protection of biodiversity and landscape;Anti-pollution;Other environmental protection;Spatial planning;National economy;Agriculture;Forestry;Hunting and fishing;Tourism;Industry, commerce and trade;Banks and insurance companies;Fuel and energy;Other commercial operations;Finances and taxes;Taxes;Tax agreements;Fiscal equalization and cost compensation;Other revenue shares without appropriation;Asset and debt management
1990;Aargau;0;2103595;90287;3322;86964;192697;75496;27863;34407;28753;1111;25066;648627;372755;43029;87424;73939;18196;45791;0;7493;26459;14381;8592;2;3431;52;414411;401879;395;8959;0;3178;199605;1972;49381;105458;4658;3560;1616;32613;0;347;291807;251971;39835;0;0;50329;430;15790;9187;12242;539;0;8586;3554;70296;53535;14848;927;156;119;0;711;0;119078;0;0;45164;31167;42747
1991;Aargau;0;2418373;101104;3408;97696;218937;85298;33603;33647;32925;1884;31579;740993;427069;51608;97666;87134;20076;48288;0;9153;36185;14360;14332;114;3569;3810;486735;472945;439;8947;0;4404;233480;2028;54352;118087;4472;4244;1592;48273;0;432;331280;285830;45450;0;0;56442;452;18647;7402;14570;802;0;9500;5069;89450;66691;20779;939;73;46;0;921;0;123768;0;0;53924;27896;41948
1992;Aargau;0;2622014;106124;3835;102289;230348;87610;35411;36065;36040;2361;32861;858464;477620;63043;112502;91654;46367;56341;0;10938;33926;19192;10154;96;4394;89;500664;485234;517;10649;0;4263;260319;2077;61520;129905;4944;5324;1610;54443;0;496;347072;299748;47214;110;0;71506;1031;14771;23327;15139;2439;0;9579;5219;87106;67684;17371;895;159;48;0;949;0;126484;0;0;56487;23758;46240
1993;Aargau;0;2752638;114063;4125;109939;234393;91854;38416;39969;34106;2839;27209;912919;501971;79511;117540;99758;42529;59644;0;11966;35081;21372;9731;31;3889;59;513999;495605;491;12980;0;4923;273356;2085;72300;138313;5718;7684;1400;45083;0;773;360492;300040;60452;0;0;67059;1258;12945;18063;16349;3407;0;9457;5581;97095;78688;16173;1015;114;209;0;896;0;144180;0;0;61720;24612;57848
1994;Aargau;0;2866913;121319;3810;117509;248120;94365;38552;47047;39959;1803;26395;918783;514298;78505;119641;103338;29863;60121;0;13018;36331;20798;10637;81;4748;66;493767;475149;520;13377;0;4721;359939;2090;84335;151848;5961;66117;1070;48019;0;500;358343;310422;47922;0;0;71772;644;14571;22315;17503;1129;0;9623;5986;115689;97176;15130;981;59;1257;0;1085;0;142850;0;0;59249;26789;56813
1995;Aargau;0;2871594;121390;4123;117267;251155;95209;43246;44170;36348;1260;30922;935991;531164;76731;115092;106117;35039;61237;0;10611;33203;15695;9877;42;7567;22;532035;507759;1954;13929;0;8393;329608;10951;92350;150719;4270;13590;1869;55530;0;330;313280;256236;57043;0;0;89356;80;16829;34850;14654;6905;0;10571;5467;115937;93172;15801;1599;86;474;0;4805;0;149638;14980;0;49263;24802;60592
1996;Aargau;0;3033373;133332;4176;129156;259381;97147;53095;41470;37659;1536;28473;955545;551096;72473;114723;101822;41766;62483;0;11181;33432;14509;9595;71;9233;24;554214;531022;1220;13617;0;8354;418454;42601;96873;137886;3953;71352;3227;62445;0;118;309103;241539;67564;0;0;71474;45;12841;18349;15168;8748;0;10342;5981;144532;128063;12454;1506;38;501;0;1970;0;153907;18482;0;44818;27054;63553
1997;Aargau;0;3065249;141460;4104;137356;246280;95136;46487;42547;38875;1410;21826;971302;569048;71737;110830;101983;42191;64406;0;11108;36632;15924;12535;27;8125;22;547228;523752;791;13758;0;8926;533656;47752;104562;152402;4416;149018;3570;71316;0;621;228842;171416;57343;83;0;69041;297;15763;13007;13667;10126;0;10208;5973;146933;130231;12502;1640;58;477;0;2025;0;143875;11020;0;47073;22653;63129
1998;Aargau;0;3092004;132391;4149;128243;254639;96894;49183;42873;44666;1364;19659;966405;557740;74542;123379;105529;53481;37982;0;13753;37621;16727;12561;55;8255;23;564047;540565;847;13819;0;8816;547897;65027;114349;152872;2641;131124;4233;76609;0;1041;238256;187155;50976;126;0;69422;25;15769;10854;15394;12069;0;9396;5914;138129;121541;11945;1898;86;467;0;2191;0;143196;17751;0;40911;21428;63107
1999;Aargau;0;3184181;134050;4705;129345;252375;99987;50152;43258;39999;1409;17570;1007975;570746;76843;125018;115062;61616;44821;0;13870;38615;17841;12320;60;8372;21;580840;557781;697;13369;0;8993;509946;74810;125443;173010;3829;34420;4048;93377;0;1008;304836;244930;59828;78;0;75527;55;16128;9993;15301;18741;0;9753;5555;136669;118789;13200;1991;46;480;0;2164;0;143348;13625;0;35120;21385;73219
