Canton,Year,GDP
Zurich,2008,135976000
Berne,2008,73670000
Lucerne,2008,23210000
Uri,2008,1782000
Schwyz,2008,8347000
Obwalden,2008,2235000
Nidwalden,2008,2539000
Glarus,2008,2547000
Zug,2008,16588000
Fribourg,2008,16358000
Solothurn,2008,16885000
Basel_Stadt,2008,31109000
Basel_Landschaft,2008,18743000
Schaffhausen,2008,6355000
Appenzell_A,2008,2956000
Appenzell_I,2008,854000
St_Gallen,2008,34505000
Graubuenden,2008,12804000
Aargau,2008,38847000
Thurgau,2008,14660000
Ticino,2008,26504000
Vaud,2008,46858000
Valais,2008,16307000
Neuchatel,2008,13662000
Geneva,2008,48982000
Jura,2008,4415000
Switzerland,2008,617696000
Zurich,2009,133708000
Berne,2009,72638000
Lucerne,2009,22772000
Uri,2009,1787000
Schwyz,2009,8446000
Obwalden,2009,2221000
Nidwalden,2009,2522000
Glarus,2009,2479000
Zug,2009,16454000
Fribourg,2009,15980000
Solothurn,2009,16275000
Basel_Stadt,2009,30720000
Basel_Landschaft,2009,18428000
Schaffhausen,2009,6203000
Appenzell_A,2009,2854000
Appenzell_I,2009,838000
St_Gallen,2009,33507000
Graubuenden,2009,12846000
Aargau,2009,38018000
Thurgau,2009,14273000
Ticino,2009,26014000
Vaud,2009,46871000
Valais,2009,16705000
Neuchatel,2009,12796000
Geneva,2009,47872000
Jura,2009,4150000
Switzerland,2009,607377000
Zurich,2010,136506000
Berne,2010,75267000
Lucerne,2010,24355000
Uri,2010,1803000
Schwyz,2010,8612000
Obwalden,2010,2368000
Nidwalden,2010,2741000
Glarus,2010,2544000
Zug,2010,18112000
Fribourg,2010,16543000
Solothurn,2010,16831000
Basel_Stadt,2010,31151000
Basel_Landschaft,2010,19112000
Schaffhausen,2010,6724000
Appenzell_A,2010,2990000
Appenzell_I,2010,906000
St_Gallen,2010,34955000
Graubuenden,2010,13277000
Aargau,2010,38747000
Thurgau,2010,15081000
Ticino,2010,26835000
Vaud,2010,49326000
Valais,2010,17223000
Neuchatel,2010,13175000
Geneva,2010,49868000
Jura,2010,4274000
Switzerland,2010,629325000
Zurich,2011,139015000
Berne,2011,76434000
Lucerne,2011,24732000
Uri,2011,1871000
Schwyz,2011,8598000
Obwalden,2011,2401000
